instant,dteday,season,yr,mnth,hr,holiday,weekday,weekend,workingday,weathersit,temp,atemp,hum,windspeed,windspeed_mph,comfindex,casual,registered,cnt
1,2011-01-01,1,0,1,0,0,6,1,0,1,0.24,0.2879,0.81,0.0,0.0,0.206,3,13,16.0
2,2011-01-01,1,0,1,1,0,6,1,0,1,0.22,0.2727,0.8,0.0,0.0,0.192,8,32,40.0
3,2011-01-01,1,0,1,2,0,6,1,0,1,0.22,0.2727,0.8,0.0,0.0,0.192,5,27,32.0
4,2011-01-01,1,0,1,3,0,6,1,0,1,0.24,0.2879,0.75,0.0,0.0,0.206,3,10,13.0
5,2011-01-01,1,0,1,4,0,6,1,0,1,0.24,0.2879,0.75,0.0,0.0,0.206,0,1,1.0
6,2011-01-01,1,0,1,5,0,6,1,0,2,0.24,0.2576,0.75,0.0896,6.003,0.179,0,1,1.0
7,2011-01-01,1,0,1,6,0,6,1,0,1,0.22,0.2727,0.8,0.0,0.0,0.192,2,0,2.0
8,2011-01-01,1,0,1,7,0,6,1,0,1,0.2,0.2576,0.86,0.0,0.0,0.177,1,2,3.0
9,2011-01-01,1,0,1,8,0,6,1,0,1,0.24,0.2879,0.75,0.0,0.0,0.206,1,7,8.0
10,2011-01-01,1,0,1,9,0,6,1,0,1,0.32,0.3485,0.76,0.0,0.0,0.265,8,6,14.0
11,2011-01-01,1,0,1,10,0,6,1,0,1,0.38,0.3939,0.76,0.2537,16.998,0.257,12,24,36.0
12,2011-01-01,1,0,1,11,0,6,1,0,1,0.36,0.3333,0.81,0.2836,19.001,0.223,26,30,56.0
13,2011-01-01,1,0,1,12,0,6,1,0,1,0.42,0.4242,0.77,0.2836,19.001,0.281,29,55,84.0
14,2011-01-01,1,0,1,13,0,6,1,0,2,0.46,0.4545,0.72,0.2985,19.999,0.307,47,47,94.0
15,2011-01-01,1,0,1,14,0,6,1,0,2,0.46,0.4545,0.72,0.2836,19.001,0.31,35,71,106.0
16,2011-01-01,1,0,1,15,0,6,1,0,2,0.44,0.4394,0.77,0.2985,19.999,0.292,40,70,110.0
17,2011-01-01,1,0,1,16,0,6,1,0,2,0.42,0.4242,0.82,0.2985,19.999,0.278,41,52,93.0
18,2011-01-01,1,0,1,17,0,6,1,0,2,0.44,0.4394,0.82,0.2836,19.001,0.295,15,52,67.0
19,2011-01-01,1,0,1,18,0,6,1,0,3,0.42,0.4242,0.88,0.2537,16.998,0.287,9,26,35.0
20,2011-01-01,1,0,1,19,0,6,1,0,3,0.42,0.4242,0.88,0.2537,16.998,0.287,6,31,37.0
21,2011-01-01,1,0,1,20,0,6,1,0,2,0.4,0.4091,0.87,0.2537,16.998,0.272,11,25,36.0
22,2011-01-01,1,0,1,21,0,6,1,0,2,0.4,0.4091,0.87,0.194,12.998,0.284,3,31,34.0
23,2011-01-01,1,0,1,22,0,6,1,0,2,0.4,0.4091,0.94,0.2239,15.001,0.278,11,17,28.0
24,2011-01-01,1,0,1,23,0,6,1,0,2,0.46,0.4545,0.88,0.2985,19.999,0.307,15,24,39.0
25,2011-01-02,1,0,1,0,0,0,1,0,2,0.46,0.4545,0.88,0.2985,19.999,0.307,4,13,17.0
26,2011-01-02,1,0,1,1,0,0,1,0,2,0.44,0.4394,0.94,0.2537,16.998,0.301,1,16,17.0
27,2011-01-02,1,0,1,2,0,0,1,0,2,0.42,0.4242,1.0,0.2836,19.001,0.281,1,8,9.0
28,2011-01-02,1,0,1,3,0,0,1,0,2,0.46,0.4545,0.94,0.194,12.998,0.328,2,4,6.0
29,2011-01-02,1,0,1,4,0,0,1,0,2,0.46,0.4545,0.94,0.194,12.998,0.328,2,1,3.0
